"City","Slug","Action","Src","Folder","File","NewName","Caption"
"bangkok","baan-glang-soi","dup-skip","D:\Google Photos\Food 2019\Thai19-0346.jpg","Food 2019","Thai19-0346.jpg","","Bangkok - Baan Glang Soi"
"bangkok","baan-glang-soi","dup-skip","D:\Google Photos\Food 2019\Thai19-0347.jpg","Food 2019","Thai19-0347.jpg","","Bangkok - Baan Glang Soi"
"bangkok","vespa-cafe","dup-skip","D:\Google Photos\Food 2022\Thai22-0018.jpg","Food 2022","Thai22-0018.jpg","","Bangkok - Vespa Cafe"
"bangkok","duklong","dup-skip","D:\Google Photos\Food 2022\Thai22-0051.jpg","Food 2022","Thai22-0051.jpg","","Bangkok - Duklong"
"bangkok","duklong","dup-skip","D:\Google Photos\Food 2022\Thai22-0052.jpg","Food 2022","Thai22-0052.jpg","","Bangkok - Duklong"
"bangkok","duklong","dup-skip","D:\Google Photos\Food 2022\Thai22-0311.jpg","Food 2022","Thai22-0311.jpg","","Bangkok - Duklong"
"bangkok","duklong","import","D:\Google Photos\Food 2022\Thai22-0312.jpg","Food 2022","Thai22-0312.jpg","duklong-5.jpg","Bangkok - Duklong"
"bangkok","kabocha-sushi","dup-skip","D:\Google Photos\Food 2022\Thai22-0083.jpg","Food 2022","Thai22-0083.jpg","","Bangkok - Kabocha Sushi"
"bangkok","kabocha-sushi","dup-skip","D:\Google Photos\Food 2022\Thai22-0085.jpg","Food 2022","Thai22-0085.jpg","","Bangkok - Kabocha Sushi"
"bangkok","kabocha-sushi","dup-skip","D:\Google Photos\Food 2022\Thai22-0086.jpg","Food 2022","Thai22-0086.jpg","","Bangkok - Kabocha Sushi"
"bangkok","thipsamai","dup-skip","D:\Google Photos\Food 2022\Thai22-0103.jpg","Food 2022","Thai22-0103.jpg","","Bangkok - Thipsamai"
"bangkok","sooksiam","dup-skip","D:\Google Photos\Food 2022\Thai22-0144.jpg","Food 2022","Thai22-0144.jpg","","Bangkok - Sooksiam"
"bangkok","sooksiam","dup-skip","D:\Google Photos\Food 2022\Thai22-0145.jpg","Food 2022","Thai22-0145.jpg","","Bangkok - Sooksiam"
"bangkok","sooksiam","dup-skip","D:\Google Photos\Food 2024\TH24-0038.jpg","Food 2024","TH24-0038.jpg","","Bangkok - Sooksiam"
"bangkok","sooksiam","dup-skip","D:\Google Photos\Food 2024\TH24-0039.jpg","Food 2024","TH24-0039.jpg","","Bangkok - Sooksiam"
"bangkok","sooksiam","dup-skip","D:\Google Photos\Food 2024\TH24-0040.jpg","Food 2024","TH24-0040.jpg","","Bangkok - Sooksiam"
"bangkok","sooksiam","dup-skip","D:\Google Photos\Food 2024\TH24-0269.jpg","Food 2024","TH24-0269.jpg","","Bangkok - SookSiam"
